date,구로,가산디지털단지,독산,금천구청,석수,관악,안양,명학,군포,당정,의왕,성균관대,화서,수원,세류,병점,세마,오산대,오산,진위,송탄,서정리,지제,평택,성환,직산,두정,천안,봉명,쌍용,아산,배방,온양온천,신창
2020-01-01,18793,10710,11224,11438,9290,8315,27780,5637,6078,5663,7945,15089,7186,66132,4633,18215,3183,3230,15319,1378,7270,8192,3151,21403,5329,1253,7462,10743,1240,2247,4123,1402,7951,1730
2020-01-02,40492,43701,37352,25634,21607,16351,49812,19677,15984,13740,18217,30530,16477,83952,7187,30353,5435,5805,19290,3021,9080,11003,5049,24849,6728,1667,9338,11454,2495,3682,4943,1828,8865,2448
2020-01-03,42122,44214,38165,26811,22430,16944,53447,19955,16488,14689,19953,32369,16982,92304,7657,33226,5619,6340,21899,3383,9612,11854,5488,27893,7682,1847,11450,12684,2700,4154,6112,2129,9980,2560
2020-01-04,32005,16378,19990,19186,16764,13626,45852,12538,9530,9726,13780,24768,12671,95700,6831,27539,4994,5115,20002,2189,9682,11374,4812,29024,6765,1514,10987,14649,1965,3639,5429,2108,13540,2077
2020-01-05,23165,13153,13770,14352,12440,11473,33735,8243,7220,7202,9756,19165,9332,78944,5461,22377,3762,4093,17754,1693,8280,9437,3994,25984,6061,1398,9302,12890,1385,2641,4944,1652,9451,1914
2020-01-06,41981,45162,38573,25969,22076,16465,49976,20298,16196,14252,19783,31326,16712,81343,6955,30825,5391,5634,19448,3119,8304,10880,4978,24325,7094,1620,9779,11287,2830,3693,5033,1863,8513,2403
2020-01-07,40146,43497,37559,24954,21342,15960,48223,19805,15620,13981,18979,30129,15728,78268,6593,29581,5147,5557,18527,3016,7581,10174,4613,22238,6392,1528,8708,9746,2505,3460,4438,1676,7514,1991
2020-01-08,41982,44988,38477,26169,22232,16721,51377,20532,16553,13979,20248,31331,16986,83735,6751,31778,5446,5506,20112,3158,8483,10900,4864,23552,6294,1592,9662,10283,2684,3601,4867,1898,7830,2118
2020-01-09,42487,45360,38555,26671,23035,17279,52435,20283,16359,14445,20485,32045,17327,86218,7241,32292,5661,5817,19974,3102,8506,10968,4925,24835,6858,1639,10202,11556,2783,4173,4975,2118,10878,2227
2020-01-10,43657,46141,39147,27692,23393,17359,55601,20686,17051,15367,21020,34338,17704,96591,7912,35777,6075,6239,22454,3671,9600,12090,5770,28527,7611,1825,11997,13133,2639,4196,6309,2189,9935,2541
2020-01-11,33834,17540,21310,20528,17652,14239,49209,13179,10260,10005,13742,26471,13479,102369,7192,29814,5046,5415,21368,2310,9908,12158,5166,30809,7383,1634,11553,15763,1890,3748,6025,2217,11420,2097
2020-01-12,24904,13437,14795,14589,12919,11015,36384,8358,7570,7227,10288,19828,9663,84408,5929,23383,4130,4182,19067,1741,8659,10578,4109,28144,6853,1549,9707,13769,1571,2658,4967,1658,9777,1953
2020-01-13,42164,45055,38964,26553,22486,16453,51210,20662,16527,14059,19963,31759,17003,84286,7123,31786,5467,5569,20997,3064,8447,11017,4981,25100,6796,1650,9909,11699,2716,3815,5180,1940,8844,2449
2020-01-14,42512,45081,39095,26417,22600,16945,52023,20590,16372,14164,20222,31838,17011,83039,7054,31525,5364,5485,19896,3039,8176,10625,4799,23825,6866,1587,10018,11570,2907,3997,4881,1938,11051,2463
2020-01-15,42539,45264,39212,26651,22440,16573,51765,20756,16606,14369,20131,32232,16960,84265,6943,32052,5473,5663,20126,3066,8382,11044,4926,24521,6586,1630,10073,11213,2838,3865,5062,1967,8518,2405
2020-01-16,42215,45090,39139,26558,22648,16828,52594,20476,16258,14304,20315,32070,17068,84258,7242,31513,5382,5645,19321,3075,8473,10865,4848,24799,6520,1539,9875,11057,2674,3964,4985,1904,8826,2352
2020-01-17,43133,46186,39975,27505,23050,17074,54900,20511,16807,14472,20776,33376,17351,93613,7770,34435,5856,6135,21698,3434,9841,12171,5461,27596,7358,1822,11462,12241,2758,4011,6094,2228,9416,2580
2020-01-18,33192,18385,22758,20448,17128,14128,47778,12189,9983,9951,14296,26164,13075,99098,7297,29670,5061,5212,21487,2212,9867,11552,4788,29812,6796,1726,11027,14954,1963,3565,5465,2069,11270,2183
